ID	Range	Rate	Angle	Rcs	Snr
24	15.6	0.0	67.1	-46.0	13

1	1.3	0.4	-53.3	-29.5	40
2	1.5	-0.9	33.3	-33.5	28
3	1.6	-1.5	22.9	-39.0	28
4	1.6	-1.7	23.4	-41.5	26
5	2.3	0.0	0.2	-5.0	46
6	2.4	0.2	-6.7	-21.0	28
7	2.4	-0.6	29.7	-28.0	22
8	3.6	0.0	53.3	-26.0	35
9	4.2	0.2	0.2	-42.5	18
10	4.3	0.0	61.7	-26.0	33
11	4.4	-0.6	5.3	-36.0	24
12	5.0	-0.5	-68.1	-35.5	25
13	5.2	-1.3	-20.9	-41.5	18
14	5.4	0.0	1.7	-21.0	40
15	5.4	-0.3	-74.6	-37.0	21
16	6.1	-0.5	-41.0	-44.0	13
17	6.1	-1.8	33.8	-48.5	13
18	6.1	-1.8	1.6	-50.5	11
19	6.8	0.0	-37.3	-25.5	35
20	9.6	-0.1	65.8	-40.0	19
21	9.6	-0.1	-6.4	-41.0	18
22	15.6	0.0	68.4	-46.0	13

1	1.3	0.5	-2.1	-28.5	41
2	1.3	-0.8	32.3	-35.5	34
3	1.4	-0.6	28.8	-45.0	25
4	1.4	-1.0	31.6	-31.0	39
5	2.3	0.0	0.3	-5.0	47
6	2.4	0.3	-41.6	-20.5	29
7	2.4	0.3	-9.6	-21.5	28
8	2.4	0.3	-21.7	-23.5	26
9	2.4	-0.6	-3.9	-28.0	21
10	3.7	0.0	53.3	-26.0	35
11	4.2	0.2	-4.5	-33.5	27
12	4.3	0.0	61.9	-26.0	34
13	4.4	-0.6	6.6	-35.5	23
14	5.2	-1.2	-23.1	-35.0	23
15	5.4	0.0	1.5	-21.0	37
16	6.8	0.0	-37.4	-25.5	33
17	7.1	-0.5	-46.6	-44.5	13
18	9.6	0.0	69.6	-41.0	17

1	1.3	0.6	-41.9	-34.5	32
2	1.3	0.6	-23.1	-32.5	34
3	1.3	-1.0	31.0	-30.0	37
4	1.4	-0.9	26.5	-30.5	36
5	1.4	-0.6	17.4	-34.0	33
6	2.3	0.0	0.2	-5.0	46
7	2.4	0.3	-24.0	-18.5	31
8	2.4	0.3	-11.4	-19.5	30
9	2.4	-0.5	26.5	-20.0	30
10	3.7	0.5	-6.3	-39.5	24
11	3.7	0.0	54.2	-26.0	37
12	4.1	0.3	-7.6	-41.0	21
13	4.3	0.0	62.0	-26.5	35
14	4.3	-0.7	23.8	-33.5	28
15	4.3	-0.7	38.3	-33.5	28
16	5.4	0.0	1.3	-21.0	38
17	6.8	-0.1	-37.1	-25.5	33
18	7.1	-0.5	-8.4	-46.5	13
19	9.8	0.0	73.7	-43.0	16
20	9.8	0.0	-32.1	-44.0	15
21	15.8	-26.9	67.8	-46.0	14
22	27.1	0.0	62.9	-45.0	13

1	1.3	0.6	-27.8	-36.5	32
2	1.3	-1.3	28.3	-27.5	41
3	1.3	-0.9	28.2	-33.0	37
4	2.3	0.0	0.3	-5.0	47
5	2.4	-0.4	3.7	-24.5	25
6	2.4	0.4	-6.4	-24.5	25
7	2.7	-39.3	0.6	-35.5	17
8	2.7	-39.3	-32.4	-33.5	19
9	3.3	-0.2	11.6	-38.0	18
10	3.6	0.0	54.9	-26.0	31
11	4.3	-0.8	4.8	-42.0	21
12	4.4	0.0	61.7	-26.0	33
13	4.4	0.2	31.4	-43.5	18
14	4.5	-0.6	22.4	-36.0	26
15	5.1	-0.3	19.8	-39.0	20
16	5.4	0.0	1.0	-20.5	39
17	5.4	0.3	33.4	-41.0	20
18	6.4	0.7	27.7	-49.0	13
19	6.8	0.0	-37.4	-25.0	34
20	7.5	-0.9	9.5	-45.0	14
21	9.8	0.0	72.7	-43.0	17

1	1.2	1.1	-31.1	-36.5	29
2	1.3	-1.3	24.8	-24.5	42
3	1.3	-0.8	22.7	-30.5	34
4	1.3	0.6	-31.1	-35.0	32
5	2.3	0.0	0.4	-5.0	46
6	2.4	-0.4	-73.7	-28.0	21
7	2.4	-0.4	-25.2	-31.0	18
8	2.4	-0.4	1.8	-29.0	20
9	2.4	0.4	-8.9	-28.5	21
10	2.4	0.3	-7.5	-28.5	21
11	2.5	0.8	-28.1	-31.0	21
12	3.6	0.0	56.0	-26.0	32
