ID	Range	Rate	Angle	Rcs	Snr
5	2.3	0.0	1.1	-7.5	47
6	4.1	0.7	-7.3	-38.0	21
7	4.3	0.5	-46.4	-39.0	22
8	5.0	0.0	-0.2	-22.5	35
9	6.8	0.0	3.4	-34.0	25
10	6.8	0.0	38.4	-36.0	23
11	8.5	0.0	-2.1	-41.0	16
12	9.1	0.0	25.7	-40.0	15

1	1.4	0.9	-45.9	-31.5	37
2	1.5	0.7	-43.5	-36.0	35
3	1.7	0.3	-40.3	-36.5	31
4	2.3	0.0	1.0	-7.5	47
5	2.7	0.4	20.8	-34.0	23
6	3.8	-0.3	-20.6	-44.5	17
7	4.3	0.5	-45.0	-36.0	23
8	4.4	0.0	59.4	-25.5	35
9	5.4	0.0	1.9	-24.0	35
10	6.8	0.0	37.7	-31.5	27
11	8.3	0.0	-37.1	-42.0	15
12	9.2	0.0	24.8	-40.0	17

1	1.5	0.7	-44.5	-31.0	35
2	1.5	0.9	-47.8	-31.0	34
3	2.3	0.0	1.1	-7.5	47
4	2.6	0.4	-37.4	-37.5	19
5	4.3	0.5	-43.8	-35.5	25
6	4.4	0.0	60.2	-26.5	33
7	5.3	0.0	1.3	-22.5	38
8	6.0	-26.4	-55.0	-47.0	13
9	6.8	0.0	5.1	-31.5	26
10	7.0	0.8	-10.2	-39.0	18
11	7.9	-0.5	-20.8	-42.0	14
12	8.2	0.0	34.3	-41.0	17
13	9.2	0.0	24.6	-39.5	17

1	1.4	0.4	-41.5	-39.0	31
2	1.6	0.6	-43.6	-35.0	32
3	2.3	0.0	1.1	-7.5	47
4	2.6	0.3	65.6	-34.5	24
5	2.6	0.3	-14.7	-34.5	24
6	4.3	0.2	-44.2	-39.5	21
7	4.4	0.5	-10.1	-35.0	24
8	4.5	0.0	60.8	-26.5	34
9	5.3	0.0	1.4	-22.5	37
10	6.8	0.0	5.4	-31.5	27
11	8.2	0.0	1.5	-43.5	14
12	8.2	0.0	33.8	-45.5	12
13	9.2	0.0	25.6	-40.0	17

1	1.4	0.4	-42.5	-39.0	31
2	1.6	0.6	-44.2	-38.0	30
3	2.3	0.0	1.0	-7.5	47
4	4.4	0.6	-26.1	-34.0	26
5	4.4	0.4	9.1	-35.5	25
6	5.3	0.0	1.1	-22.5	36
7	6.8	0.0	4.8	-32.5	24
8	6.8	0.0	44.6	-33.5	23
9	8.5	0.0	-1.1	-41.5	16
10	9.2	0.0	24.9	-40.0	16
11	9.2	0.0	-32.7	-42.0	14

1	1.5	0.4	-44.3	-40.5	27
2	1.6	0.6	-44.9	-34.0	34
3	2.3	0.0	1.0	-7.5	47
4	4.4	0.5	7.5	-33.0	26
5	5.1	0.0	0.1	-22.0	39
6	6.8	0.0	39.7	-33.5	24
7	8.5	0.0	-0.7	-39.5	17
8	9.1	0.0	24.9	-39.5	18
9	9.1	0.0	-32.1	-41.5	16

1	1.5	0.3	-43.5	-48.0	24
2	1.6	0.5	-45.0	-35.0	32
3	2.3	0.0	1.0	-7.5	47
4	3.7	-0.4	-22.5	-43.5	18
5	4.4	0.6	5.4	-31.5	27
6	4.4	0.4	-47.3	-34.5	26
7	5.3	0.0	1.2	-22.0	37
8	6.9	0.0	-40.6	-33.5	24
9	7.1	0.3	-10.0	-44.0	15
10	8.5	0.0	0.8	-40.5	16
11	9.1	0.0	3.7	-41.5	18
12	9.1	0.0	25.1	-43.5	16

1	1.6	0.4	-45.5	-34.0	34
2	2.3	0.0	1.0	-7.5	47
3	4.4	0.6	-49.5	-41.0	19
4	4.4	0.6	-74.6	-43.0	17
5	4.4	0.4	-47.3	-32.5	29
6	4.5	0.0	59.5	-26.0	34
7	5.4	0.0	1.1	-22.0	37
8	6.8	0.0	-40.0	-28.5	30
9	7.2	0.3	-9.3	-41.0	17
10	8.5	0.0	-1.1	-39.5	18
11	9.1	0.0	4.9	-39.5	17
12	15.4	29.8	63.4	-42.5	14

1	1.6	0.4	-44.5	-32.0	35
2	1.6	0.6	-46.9	-37.0	28
3	2.3	0.0	1.1	-7.5	46
4	2.7	0.2	-21.4	-28.5	29
5	3.7	-0.3	-23.0	-35.0	29
6	4.4	0.4	-46.7	-33.5	27
7	5.3	0.0	1.4	-22.0	37
8	6.8	0.0	-38.8	-29.5	30
9	7.1	0.3	-10.2	-45.0	15
10	8.5	0.0	-2.0	-41.0	16
11	9.2	0.0	-50.2	-41.0	17
12	9.2	0.0	-30.8	-42.0	16
13	15.7	0.0	66.2	-43.0	13

1	1.6	0.5	-47.4	-34.5	33
2	2.3	0.0	1.0	-7.5	47
3	2.7	0.2	-40.4	-29.5	28
4	3.7	-0.3	-22.9	-40.5	20
5	4.4	0.4	-48.1	-35.0	25
6	4.4	0.4	-10.4	-36.0	24
7	4.5	0.0	59.1	-26.0	33
8	5.3	0.0	1.6	-22.5	37
9	5.6	0.2	20.2	-39.5	20
10	5.6	0.2	44.7	-40.5	19
11	6.8	0.0	-38.3	-27.5	31
12	8.5	0.0	-0.3	-40.5	18
13	9.1	0.0	5.2	-40.5	18
14	9.1	0.0	27.0	-41.5	17

1	1.8	0.6	-48.5	-35.5	31
2	2.3	0.0	1.1	-7.5	47
3	2.7	0.3	-42.0	-31.0	27
4	3.6	-0.3	-23.4	-37.5	24
5	4.5	0.5	-48.0	-40.0	21
6	5.3	0.0	1.5	-22.5	38
7	6.8	0.0	-38.1	-27.0	31
8	8.4	0.0	-0.6	-41.5	16
9	9.2	-0.1	26.0	-42.0	15

1	2.3	0.0	1.1	-7.5	47
2	2.8	0.3	-41.6	-35.0	22
3	4.6	0.6	-49.8	-41.5	18
4	5.3	0.0	1.1	-22.0	37
5	6.8	0.0	-38.2	-26.5	31
6	8.4	0.0	-0.5	-39.0	19
7	9.2	0.0	27.5	-40.0	16
8	15.7	0.0	62.7	-42.5	14

1	1.8	0.7	-50.2	-27.5	31
2	2.3	0.0	1.1	-7.5	47
3	2.8	0.3	-45.2	-35.0	23
4	4.6	0.6	-50.6	-37.0	22
5	5.3	0.0	1.5	-23.0	38
6	5.6	0.1	74.5	-41.0	19
7	6.8	0.0	-38.2	-27.5	31
8	8.5	0.0	-1.6	-39.5	18
9	9.1	0.0	26.3	-40.5	17
10	15.7	0.0	64.4	-42.5	13

1	1.7	0.5	-47.7	-31.0	36
2	2.3	0.0	1.0	-7.5	47
3	3.6	-0.3	-27.9	-44.0	18
4	4.5	0.0	60.0	-26.5	34
5	5.3	0.0	1.1	-22.5	36
6	6.8	0.0	-37.8	-27.5	31
7	8.5	0.0	0.0	-40.5	17
8	13.3	-0.1	65.0	-43.5	13
9	13.3	-0.1	-7.1	-44.5	12

1	1.9	0.4	-50.1	-34.0	24
2	2.3	0.0	1.0	-7.5	46
3	5.3	0.0	1.0	-22.0	38
4	6.8	0.0	-37.8	-28.0	30
5	8.4	-0.1	-36.7	-39.5	18
6	9.2	0.0	24.6	-41.5	15
7	15.6	0.0	66.7	-42.5	13

1	1.7	0.2	-46.5	-30.0	38
2	2.3	0.0	1.0	-7.5	47
3	4.4	0.2	23.5	-42.0	19
4	5.3	0.0	0.2	-21.5	35
5	6.8	0.0	-37.3	-28.5	33
6	8.5	-0.1	-2.3	-39.0	19

1	2.3	0.0	1.0	-7.5	47
2	5.3	0.0	0.8	-21.5	36
3	6.8	0.0	-39.2	-26.5	30
4	8.4	0.0	-0.3	-40.0	16
5	9.1	-0.1	25.1	-41.5	14

1	2.3	0.0	1.0	-7.5	47
2	4.4	0.0	59.0	-26.0	35
3	5.2	-0.3	16.1	-42.0	18
4	5.4	0.0	0.8	-21.5	38
5	6.8	0.0	-37.4	-29.0	30
6	8.5	0.0	-0.2	-40.5	16
7	9.1	0.0	25.6	-40.0	16

1	2.3	0.0	1.0	-7.5	47
2	5.2	-0.4	16.0	-40.0	19
3	5.4	0.0	0.8	-20.5	38
4	6.8	0.0	-39.5	-27.5	32
5	9.1	0.0	5.2	-38.5	19

1	2.3	0.0	1.0	-7.5	47
2	5.1	-0.4	16.3	-34.5	26
3	5.3	0.0	0.7	-21.0	38
4	6.8	0.0	-38.7	-30.0	28
5	8.5	0.0	-3.4	-39.0	19
6	9.2	0.0	-45.7	-38.5	20
7	9.2	0.0	26.3	-40.5	18

1	2.0	-0.3	-36.5	-35.5	23
2	2.3	0.0	1.0	-7.5	47
3	4.4	0.0	59.1	-26.0	36
4	5.1	-0.4	15.8	-40.5	20
5	5.4	0.0	0.4	-21.5	39
6	6.8	0.0	-39.2	-30.0	29
7	8.5	0.0	-35.5	-39.5	19
8	8.5	0.0	-56.5	-41.5	17
9	9.2	0.0	-46.2	-39.0	18
10	9.2	0.0	26.9	-40.0	17
11	15.9	-26.9	61.7	-42.5	14

1	2.0	-0.6	-37.1	-36.5	20
2	2.3	0.0	1.1	-7.5	47
3	3.7	0.2	-26.6	-45.5	17
4	5.3	0.0	0.8	-21.0	37
5	6.9	0.0	-40.2	-31.5	29
6	8.5	0.0	-0.3	-39.0	19
7	15.6	-0.1	63.2	-42.0	13

1	1.9	-0.8	-37.1	-36.0	20
2	2.3	0.0	1.1	-7.5	47
3	3.3	-0.4	46.9	-47.0	17
4	3.3	-0.4	-19.6	-48.0	16
5	3.7	0.3	-27.5	-42.5	20
6	5.3	0.0	0.5	-21.5	37
7	7.0	0.0	-39.6	-33.0	25
8	8.4	0.0	-35.9	-39.5	18
9	9.3	0.0	-45.0	-40.0	16
10	9.3	0.0	25.7	-41.0	15

1	1.9	-0.6	-37.9	-35.5	21
2	2.3	0.0	1.1	-7.5	47
3	3.7	0.3	-26.3	-34.5	28
4	4.4	0.0	59.8	-26.0	35
5	5.4	0.0	0.7	-21.5	37
6	7.0	0.0	35.6	-34.5	23
7	8.5	-0.1	-35.6	-38.5	19
8	9.0	0.0	-25.1	-39.5	17

1	1.8	-1.1	-33.7	-46.0	22
2	1.8	-0.9	-36.8	-47.0	20
3	1.9	-0.5	-39.3	-37.0	19
4	2.3	0.0	1.0	-7.5	47
5	3.7	0.4	-8.1	-40.0	22
6	5.3	0.0	0.6	-20.5	37
7	7.1	-0.1	33.3	-35.0	21
8	7.1	-0.1	-37.8	-37.0	19
9	8.4	0.0	-0.9	-39.0	20
10	9.2	0.0	24.6	-39.0	19

1	1.7	-0.8	-34.3	-41.5	26
2	1.8	-0.4	-38.4	-39.0	29
3	2.3	0.0	1.0	-7.5	47
4	2.7	-0.3	-18.8	-40.5	18
5	2.7	-0.3	-67.1	-40.5	18
6	3.5	0.3	-17.9	-44.5	19
7	3.7	0.5	-26.7	-42.0	18
8	4.5	-0.4	-5.2	-44.0	17
9	4.5	-0.4	-38.2	-45.0	16
10	4.5	0.0	59.8	-25.5	35
11	5.4	0.0	0.2	-21.0	37
12	7.0	0.0	8.3	-34.5	24
13	7.0	0.0	-17.2	-36.5	22
14	8.4	0.0	-36.6	-40.0	17
15	9.4	0.0	32.8	-41.0	15

1	2.3	0.0	1.1	-7.5	47
2	3.7	0.5	-25.2	-36.5	26
3	5.3	0.0	0.2	-21.0	40
4	6.9	0.0	6.0	-35.5	23
5	6.9	0.0	44.0	-34.5	24
6	8.5	0.0	-35.5	-40.0	18
7	9.1	0.0	24.4	-41.5	17
8	9.1	0.0	-33.7	-43.5	15

1	1.7	-0.4	-57.4	-39.5	27
2	1.7	0.2	-35.5	-39.5	29
3	2.3	0.0	1.1	-7.5	47
4	3.7	0.4	-27.5	-39.0	23
5	5.4	0.0	0.4	-21.0	37
6	6.9	0.0	4.6	-34.0	25
7	6.9	0.0	57.6	-34.0	25
8	8.5	0.0	-0.9	-39.5	19
9	9.2	0.0	25.3	-41.0	17

1	1.7	-0.4	-58.8	-34.5	33
2	1.8	0.3	-38.0	-40.0	27
3	1.8	0.6	-37.1	-42.5	24
4	2.3	0.0	1.1	-7.5	47
5	3.8	0.4	-26.4	-29.0	32
6	4.5	0.0	59.1	-26.0	35
7	5.4	0.0	0.7	-21.0	38
8	7.0	0.0	35.9	-34.5	24
9	8.6	0.0	-2.1	-41.0	15
10	8.6	0.0	-13.7	-43.0	13
11	9.2	0.0	26.3	-39.5	16
12	15.7	-0.1	36.6	-43.0	13

1	1.7	-0.4	-57.3	-46.0	21
2	1.8	1.0	-33.3	-50.0	19
3	1.8	0.7	-37.2	-42.5	26
4	1.8	0.5	-37.9	-36.5	20
5	2.3	0.0	1.0	-7.5	47
6	3.8	0.3	-23.1	-36.5	26
7	4.4	0.0	59.3	-26.0	36
8	5.4	0.0	0.3	-22.0	38
9	5.7	0.2	-29.1	-44.5	14
10	5.7	0.2	-3.7	-44.5	14
11	7.1	0.0	33.5	-34.0	25
12	8.6	0.0	-1.4	-40.0	18
13	9.2	0.0	27.4	-39.5	17

1	1.7	-0.5	-45.1	-41.0	26
2	1.8	0.2	-37.9	-42.0	24
3	2.3	0.0	1.0	-7.5	47
4	3.8	0.2	-25.9	-38.5	26
5	4.4	0.0	59.7	-26.5	34
6	5.4	0.0	1.1	-21.0	37
7	7.0	0.0	-39.0	-33.5	25
8	8.4	0.0	-1.6	-38.0	21
9	9.1	0.0	26.6	-39.5	17
10	30.0	-49.7	1.0	-44.0	13
11	30.0	-49.7	44.2	-45.0	12
12	33.7	-12.4	-63.1	-44.5	13
13	56.3	-53.8	-71.9	-44.0	13

1	2.3	0.0	1.0	-7.5	46
2	3.9	0.3	-24.9	-42.0	19
3	4.4	0.0	59.8	-26.0	36
4	5.4	0.0	0.7	-21.5	38
5	7.0	0.0	-39.7	-34.0	24
6	8.4	-0.1	-35.0	-39.5	17
7	9.1	0.0	26.1	-40.0	17

