ID	Range	Rate	Angle	Rcs	Snr
4	12.8	-0.1	5.2	-46.0	15

1	2.5	0.0	-3.6	-11.0	42
2	4.8	0.2	21.4	-46.5	20
3	4.8	0.2	6.5	-48.5	18
4	5.7	0.0	47.9	-25.0	39
5	8.4	0.0	-4.4	-31.5	31
6	12.8	0.0	5.4	-46.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.3	-25.0	38
3	8.4	0.0	-4.3	-31.5	32
4	13.7	-69.5	8.3	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.1	-25.0	38
3	8.4	0.0	-4.3	-31.0	33
4	12.8	0.0	5.4	-47.0	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.2	-25.0	37
3	8.4	0.0	-4.5	-31.0	31

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.3	-25.5	39
3	8.4	0.0	43.3	-31.0	32
4	12.6	0.0	4.8	-46.5	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.1	-25.5	38
3	8.4	0.0	-4.4	-31.0	30
4	12.6	0.0	13.0	-46.5	16

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.0	-25.0	38
3	8.4	0.0	-4.5	-31.0	31
4	12.6	23.8	10.9	-46.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.3	-25.5	38
3	8.4	0.0	-4.5	-31.5	30
4	12.9	0.0	5.0	-47.0	14

1	2.5	0.0	-3.6	-11.0	42
2	4.8	0.2	1.6	-43.0	22
3	5.6	0.0	-3.2	-25.0	37
4	8.4	0.0	-4.6	-31.0	33
5	12.9	-0.1	4.7	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.1	-25.5	40
3	8.4	0.0	-4.1	-31.5	31
4	12.7	23.8	1.9	-47.0	14

1	2.5	0.0	-3.6	-11.0	42
2	5.6	0.0	48.5	-25.0	38
3	8.4	0.0	-4.4	-31.0	32
4	13.9	-69.5	8.0	-47.0	13

1	2.5	0.0	-3.6	-11.0	42
