ID	Range	Rate	Angle	Rcs	Snr
17	6.6	0.9	31.5	-47.5	13
18	6.8	0.0	-37.4	-25.5	37
19	9.5	0.0	-60.3	-39.0	20
20	15.6	-0.1	64.8	-43.0	15

1	1.2	-0.3	-9.3	-27.5	44
2	1.4	0.9	38.2	-31.0	40
3	2.3	0.0	0.6	-5.5	46
4	2.5	0.5	12.1	-30.0	26
5	2.6	0.7	30.8	-37.5	20
6	3.6	0.0	51.3	-26.0	38
7	3.7	0.2	11.1	-31.0	31
8	4.3	0.0	61.6	-27.0	35
9	4.4	-0.4	41.9	-46.0	17
10	5.1	0.4	18.0	-35.5	25
11	5.1	0.4	-15.5	-35.5	25
12	5.4	0.0	1.8	-23.5	37
13	5.4	0.3	32.4	-41.0	19
14	5.8	1.0	-62.0	-45.0	17
15	6.8	0.0	-37.7	-25.5	36
16	8.5	-0.1	-0.2	-42.5	18
17	9.5	0.0	-62.9	-38.5	21
18	15.6	0.0	65.3	-43.0	16
19	19.1	0.0	66.6	-46.5	13

1	1.2	-0.4	-10.6	-32.5	33
2	1.4	1.0	43.3	-29.5	39
3	1.5	0.8	40.7	-37.5	30
4	2.3	-0.1	-0.1	-2.5	47
5	2.6	0.5	33.5	-21.5	32
6	2.7	0.3	31.4	-35.5	17
7	3.7	0.0	51.4	-27.0	35
8	3.8	0.4	13.2	-41.5	20
9	4.3	0.6	-74.6	-42.5	18
10	4.3	-0.1	62.1	-26.5	35
11	5.4	-0.1	0.6	-18.5	40
12	5.4	0.2	10.7	-37.5	21
13	5.5	0.4	4.6	-32.5	26
14	5.5	0.4	37.7	-32.5	26
15	5.8	1.1	34.8	-47.0	14
16	6.1	0.2	-52.1	-36.5	23
17	6.6	0.9	-52.7	-37.0	21
18	6.8	0.0	-37.8	-25.5	33
19	8.3	-0.1	1.9	-41.5	18
20	9.5	0.0	53.6	-39.0	21
21	9.5	0.0	28.0	-40.0	20
22	13.3	0.0	63.8	-47.0	13
23	15.6	0.0	66.1	-43.0	17
24	19.1	0.0	67.4	-45.5	13

1	1.2	-0.2	-5.4	-27.5	42
2	1.3	-0.6	-8.9	-45.0	22
3	1.4	1.1	44.6	-34.5	34
4	1.7	0.8	-74.6	-36.5	33
5	2.4	0.0	0.3	-15.0	45
6	2.6	-0.4	1.8	-40.0	23
7	2.6	0.8	-5.4	-37.0	24
8	2.6	0.4	34.6	-22.5	38
9	3.7	0.0	49.9	-26.5	40
10	4.3	0.0	60.8	-27.5	36
11	4.3	0.6	10.1	-38.0	24
12	5.4	-0.1	4.0	-27.0	34
13	5.5	0.3	3.6	-33.5	27
14	5.5	0.3	38.5	-34.5	26
15	5.8	0.9	34.2	-35.0	28
16	6.3	-0.4	34.3	-46.0	17
17	6.7	0.9	-48.5	-39.0	20
18	6.9	0.0	-37.8	-26.0	34
19	9.5	0.0	55.9	-39.0	22
20	15.6	0.0	64.6	-43.0	16
21	18.9	29.7	65.8	-45.5	13
22	18.9	29.7	7.8	-46.5	12
23	46.6	-30.1	-63.2	-46.5	13
24	46.6	-30.1	34.7	-47.5	12

1	1.2	-0.1	-0.9	-32.0	37
2	1.6	1.6	45.0	-41.5	28
3	1.6	1.3	46.3	-45.5	24
4	1.6	1.1	45.3	-37.5	29
5	1.6	0.7	42.1	-33.5	29
6	2.5	0.0	-30.8	-25.0	38
7	2.6	0.4	35.7	-26.5	37
8	2.7	0.7	39.8	-37.5	25
9	2.7	0.2	37.8	-35.5	25
10	4.3	0.0	60.7	-27.5	35
11	4.3	1.1	11.3	-46.5	18
12	4.4	0.5	43.9	-38.5	23
13	4.5	0.2	-38.5	-39.5	23
14	5.4	0.9	-5.4	-42.0	21
15	5.5	0.3	6.4	-33.5	27
16	5.5	0.0	-14.4	-29.5	32
17	5.5	0.0	18.0	-31.5	30
18	6.6	0.8	39.1	-40.5	18
19	6.6	-25.3	-69.8	-50.0	13
20	6.7	1.0	34.0	-39.0	21
21	6.9	0.0	-37.8	-25.0	36
22	7.1	0.5	0.9	-44.5	16
23	7.3	-0.4	35.8	-46.0	17
24	8.9	0.0	31.9	-42.0	19
25	8.9	0.0	-48.2	-44.0	17
26	9.6	0.0	50.0	-40.5	20
27	9.6	0.0	30.4	-41.5	19
28	13.3	0.0	36.6	-47.0	13
29	15.6	0.0	65.6	-43.0	18
30	19.1	0.0	68.7	-46.0	13

1	1.2	-0.1	1.0	-24.0	45
2	1.6	0.8	46.9	-35.5	31
3	1.6	1.0	45.6	-41.5	25
4	2.0	0.2	41.4	-40.0	26
5	2.5	-0.1	17.7	-24.0	40
6	2.6	0.1	1.2	-39.0	22
7	2.6	0.5	36.1	-25.0	37
8	4.3	0.0	61.0	-27.5	35
9	4.4	0.6	48.1	-41.0	19
10	4.4	0.9	-69.1	-43.0	19
11	4.5	0.2	1.0	-42.5	19
12	5.6	0.4	40.1	-32.0	27
13	5.6	0.4	7.0	-31.0	28
14	5.8	0.9	34.6	-39.5	21
15	5.8	0.0	-13.6	-32.0	30
16	6.8	0.7	-49.2	-46.0	13
17	6.8	0.7	-74.6	-48.0	11
18	6.9	0.0	-37.9	-24.5	36
19	7.8	0.6	18.2	-45.0	16
20	8.5	0.0	-10.8	-40.0	20
21	9.4	0.0	-60.3	-39.5	21
22	9.4	0.0	-39.9	-40.5	20
23	15.6	0.0	64.7	-43.0	17
24	19.1	-0.1	70.1	-46.0	14

1	1.2	-0.1	2.9	-33.5	39
2	1.6	0.9	45.8	-39.5	28
3	1.6	0.9	30.1	-41.5	26
4	1.8	0.7	40.7	-31.0	37
5	2.4	-0.1	-2.8	-22.0	40
6	2.6	0.5	37.2	-23.5	39
7	4.3	-0.1	60.3	-26.5	37
8	4.5	0.4	44.0	-39.0	23
9	4.5	0.4	-7.2	-41.0	21
10	5.5	-0.1	-6.9	-30.5	31
11	5.5	-0.1	5.0	-31.5	30
12	5.5	0.8	-0.8	-42.5	19
13	5.6	0.2	26.4	-41.5	20
14	5.6	0.2	-5.2	-42.5	19
15	6.3	-0.3	8.5	-44.5	17
16	6.9	0.0	-37.8	-24.5	36
17	7.5	0.7	11.2	-47.0	14
18	7.8	0.6	-56.4	-45.0	15
19	8.5	0.0	-6.6	-39.0	22
20	8.5	0.0	-17.4	-41.0	20
21	9.4	0.0	-57.2	-40.5	20
22	9.4	0.0	-38.5	-41.5	19
23	15.6	0.0	66.1	-43.5	17

1	1.2	0.0	6.7	-32.0	39
2	1.8	0.8	-52.3	-39.0	28
3	1.8	0.8	14.0	-41.0	26
4	2.5	0.0	20.9	-24.0	43
5	2.7	0.5	39.1	-32.0	32
6	3.1	0.8	45.1	-46.0	19
7	4.0	0.4	16.7	-46.0	18
8	4.3	0.0	62.0	-28.0	35
9	5.5	0.0	-7.5	-29.5	33
10	5.5	0.0	4.4	-29.5	33
11	5.6	0.9	-0.1	-37.5	24
12	6.2	0.3	-51.7	-41.5	20
13	6.9	0.0	-37.8	-24.0	38
14	7.1	0.8	38.5	-42.5	21
15	8.5	0.0	-42.8	-38.5	23
16	9.4	0.0	62.1	-40.0	21
17	13.3	-0.1	18.3	-47.0	14
18	15.6	-0.1	66.0	-42.5	19
19	19.1	-0.1	70.1	-47.0	13
20	27.1	0.0	62.6	-45.5	14

1	1.2	-0.1	7.3	-23.5	44
2	1.8	0.8	43.5	-25.5	33
3	2.4	0.0	0.4	-8.5	46
4	2.7	0.5	40.4	-29.0	28
5	3.0	0.2	-4.5	-43.0	21
6	3.0	0.2	42.8	-43.0	21
7	4.3	0.0	58.4	-28.0	34
8	5.4	0.0	-6.2	-29.0	32
9	5.4	0.4	0.7	-36.5	23
10	5.5	0.9	5.8	-42.0	22
11	6.9	0.0	-37.7	-24.5	37
12	7.1	0.9	37.5	-46.0	15
13	7.8	0.8	-44.7	-45.5	16
14	7.8	0.8	-3.6	-47.5	14
15	8.5	0.0	-7.9	-37.5	22
16	9.4	0.0	62.7	-40.5	21
17	15.6	-0.1	68.1	-43.0	16
18	19.6	-63.8	-40.0	-46.0	14

1	1.8	0.9	35.3	-33.0	20
2	1.8	0.9	52.4	-34.0	19
3	1.8	0.9	-22.4	-31.0	22
4	2.3	0.0	1.3	-1.0	46
5	3.3	0.3	23.2	-36.5	30
6	3.6	0.0	-52.5	-30.5	32
7	5.3	0.0	1.5	-21.0	39
8	5.7	1.0	6.6	-37.0	25
