ID	Range	Rate	Angle	Rcs	Snr
23	31.4	0.0	25.7	-17.0	39
24	40.2	-0.1	3.3	-39.5	18
25	41.9	-29.9	25.4	-41.5	16
26	43.2	-0.1	7.0	-37.5	22
27	50.5	29.8	-61.4	-39.0	19
28	55.3	-0.1	10.0	-44.0	15
29	59.0	-0.1	3.7	-25.0	33
30	67.9	0.0	23.7	-31.5	26

1	1.3	0.7	-2.3	-26.0	36
2	1.3	1.1	1.1	-35.5	28
3	1.6	0.0	44.5	-14.5	45
4	1.7	0.3	-6.0	-35.5	26
5	2.7	0.6	-74.6	-43.0	22
6	2.7	0.6	-2.6	-45.0	20
7	3.0	0.3	-74.6	-45.5	18
8	3.7	0.0	-29.9	-35.0	26
9	5.1	0.0	-21.6	-13.0	44
10	6.8	0.0	12.3	-27.5	30
11	9.9	0.0	-35.7	-9.0	45
12	12.5	0.0	61.7	-42.5	14
13	12.5	0.0	-37.2	-42.5	14
14	15.0	-0.1	6.4	-38.5	18
15	15.6	0.7	-2.4	-40.5	15
16	16.9	-0.1	5.4	-36.0	20
17	18.3	-0.1	-34.1	-27.5	28
18	22.8	0.0	-24.0	-38.5	18
19	25.7	0.0	-11.6	-39.0	17
20	27.6	0.0	-25.9	-41.5	13
21	31.4	0.0	25.2	-16.0	36
22	41.3	0.0	7.9	-39.5	16
23	43.3	0.0	6.4	-40.0	13
24	50.6	26.8	-74.6	-40.0	13
25	59.2	0.0	71.6	-28.5	27
26	59.2	0.0	24.8	-29.5	26
27	67.8	0.0	23.8	-31.0	21

1	1.3	0.8	1.1	-30.5	33
2	1.3	1.0	0.3	-43.5	21
3	1.4	0.5	-0.9	-34.5	27
4	1.6	0.0	44.4	-14.5	45
5	1.8	0.4	-7.9	-34.5	24
6	2.8	0.3	-25.3	-39.5	27
7	3.0	0.7	-4.4	-45.5	20
8	3.0	0.7	-37.9	-47.5	18
9	3.7	0.3	2.7	-46.5	17
10	3.7	0.0	-30.0	-35.5	28
11	5.1	0.0	-21.6	-13.0	45
12	5.1	0.2	-22.9	-35.0	24
13	6.8	0.0	10.3	-25.0	36
14	8.3	-0.1	-11.0	-10.0	46
15	9.6	0.2	-42.3	-35.5	21
16	9.6	0.2	-27.3	-36.5	20
17	9.9	0.0	-36.0	-9.0	47
18	12.5	0.0	69.4	-43.5	15
19	15.0	0.0	5.8	-38.0	20
20	16.0	-0.1	4.3	-40.0	19
21	17.4	0.0	29.0	-40.0	18
22	18.5	0.0	-13.5	-30.5	27
23	19.9	0.0	13.4	-42.0	16
24	19.9	0.0	-54.7	-44.0	14
25	21.5	0.0	-23.5	-40.5	17
26	22.8	0.0	-21.5	-37.5	20
27	24.9	0.0	-9.4	-42.0	15
28	25.8	0.0	-10.4	-35.5	23
29	27.6	0.0	-25.2	-38.0	21
30	29.6	0.0	-4.6	-40.0	18
31	29.6	0.0	23.3	-42.0	16
32	31.4	0.0	25.0	-15.5	42
33	41.4	0.0	6.7	-36.5	22
34	43.2	0.0	5.9	-44.0	14
35	50.8	0.0	-72.9	-39.5	19
36	59.3	0.0	20.6	-31.0	27
37	59.3	0.0	34.3	-33.0	25
38	67.8	0.0	23.7	-30.5	27

1	1.3	0.7	3.5	-21.5	39
2	1.5	0.4	-5.2	-37.5	22
3	1.6	0.0	44.4	-14.5	44
4	2.6	0.5	-19.3	-38.0	27
5	2.7	0.8	-67.0	-46.0	20
6	2.7	0.8	17.5	-47.0	19
7	3.3	0.3	-42.6	-42.0	20
8	3.3	0.3	-25.6	-42.0	20
9	3.8	0.0	-30.1	-35.0	26
10	5.1	0.0	-21.6	-13.0	43
11	6.8	0.0	10.1	-19.0	37
12	8.0	0.0	-27.3	-8.0	45
13	8.0	0.0	41.1	-10.0	43
14	9.3	0.0	30.4	-11.5	43
15	9.9	0.0	-36.1	-9.0	45
16	14.9	0.0	25.8	-41.0	14
17	16.0	-0.1	-5.2	-42.5	13
18	17.5	0.0	27.9	-41.5	14
19	18.5	0.0	-14.0	-30.5	26
20	20.0	0.0	14.5	-40.5	15
21	21.5	0.0	-20.7	-41.5	13
22	22.8	0.0	-34.8	-37.0	17
23	22.8	0.0	-49.7	-39.0	15
24	25.8	0.0	-11.1	-36.0	16
25	27.6	0.0	-24.6	-38.5	13
26	31.4	0.0	24.1	-16.5	34
27	59.3	0.0	20.9	-29.5	24
28	67.8	0.0	23.9	-31.0	20

1	1.3	0.6	5.4	-22.5	38
2	1.4	0.4	5.4	-27.0	35
3	1.6	0.0	44.4	-14.5	45
4	1.7	0.7	-5.4	-19.5	40
5	2.7	0.4	-20.7	-42.0	22
6	2.8	0.5	-74.6	-41.0	24
7	3.7	0.0	-29.9	-35.5	26
8	5.1	0.0	-21.6	-13.0	43
9	6.8	0.0	9.6	-18.0	39
10	8.2	0.0	-8.3	-7.0	45
11	9.2	0.0	30.3	-11.5	44
12	9.9	0.0	-36.0	-9.0	43
13	16.8	-0.1	-6.8	-40.0	13
14	18.5	0.0	-12.5	-32.0	20
15	22.8	0.0	-20.2	-35.0	19
16	25.8	0.0	-11.0	-36.0	17
17	27.6	-0.1	-25.2	-38.0	14
18	31.4	0.0	24.4	-15.0	37
19	59.3	0.0	21.2	-31.0	23
20	67.8	0.0	23.5	-30.5	20

1	1.4	1.1	2.7	-45.5	19
2	1.6	0.9	4.2	-30.5	30
3	1.6	0.0	44.4	-14.5	46
4	1.7	0.4	-4.8	-37.0	23
5	1.7	0.8	-7.1	-31.5	29
6	2.9	0.5	24.8	-35.0	29
7	2.9	0.5	-0.2	-37.0	27
8	3.7	0.0	-28.9	-35.5	28
9	5.1	0.0	-21.6	-13.0	44
10	6.8	0.0	9.5	-16.5	40
11	8.3	0.0	-8.6	-5.0	46
12	9.9	0.0	-35.6	-9.0	45
13	17.4	0.0	26.0	-40.0	19
14	18.4	0.0	-7.3	-30.5	27
15	20.1	0.0	15.5	-41.5	17
16	22.8	0.0	-21.7	-36.5	22
17	25.8	0.0	-11.5	-35.5	23
18	27.7	0.0	-24.7	-38.5	21
19	31.4	0.0	24.4	-16.0	40
20	41.7	0.0	26.5	-41.5	15
21	51.2	-39.9	-13.7	-41.0	17
22	51.2	-39.9	18.0	-41.0	17
23	55.8	0.0	-24.2	-44.0	14
24	59.3	0.0	21.0	-31.0	27
25	67.8	0.0	23.9	-31.0	29

1	1.6	1.0	1.9	-27.5	34
2	1.6	0.0	44.4	-14.5	45
3	1.6	0.4	-3.1	-40.5	19
4	2.7	0.6	65.2	-36.5	30
5	2.7	0.6	-15.7	-38.5	28
6	2.9	0.4	-66.6	-46.0	18
7	3.4	0.7	-33.6	-38.5	26
8	3.7	0.0	-28.0	-35.0	29
9	4.0	0.2	-39.0	-45.5	18
10	4.0	0.2	3.9	-47.5	16
11	5.1	0.0	-21.6	-13.5	44
12	6.8	1.2	0.1	-37.0	22
13	6.8	0.0	9.4	-16.0	41
14	8.3	0.0	-9.1	-7.5	46
15	9.9	0.0	-35.8	-9.0	47
16	12.9	-0.1	-25.6	-45.5	13
17	14.9	-1.1	-10.6	-41.0	17
18	16.6	0.0	23.3	-41.5	17
19	18.4	0.0	-8.4	-30.0	30
20	20.0	0.0	15.5	-42.5	16
