ID	Range	Rate	Angle	Rcs	Snr
2	1.3	0.1	-2.4	-23.0	45
3	2.4	-0.1	3.2	-23.5	39
4	4.6	0.0	-60.3	-24.0	34
5	5.2	-0.5	-74.6	-42.0	17
6	6.8	0.0	-38.5	-27.0	29
7	9.3	0.0	-43.5	-36.5	19
8	15.6	0.0	61.7	-40.5	13

1	1.3	0.2	-5.2	-19.5	45
2	2.3	-0.1	0.8	-15.0	45
3	4.6	0.0	-60.5	-25.0	32
4	6.3	-0.4	-42.3	-43.0	14
5	6.8	0.0	-38.6	-27.5	27
6	8.4	0.0	2.1	-40.0	18
7	9.3	0.0	-43.2	-36.5	21

1	1.3	0.2	-8.8	-18.5	45
2	2.3	0.0	0.7	-6.5	47
3	2.9	0.4	-5.3	-43.5	19
4	4.3	0.2	-26.0	-40.5	19
5	5.1	0.0	0.3	-22.5	35
6	6.8	0.0	-38.9	-27.0	31
7	8.4	0.0	-0.2	-38.5	18
8	9.3	0.0	-43.5	-36.5	19

1	1.3	0.2	-10.2	-20.5	46
2	2.3	0.0	2.3	-8.5	47
3	5.1	-0.1	0.4	-23.5	36
4	6.8	0.0	-38.6	-27.5	28
5	9.3	-0.1	-43.4	-36.5	18

1	1.3	0.2	-12.1	-24.0	45
2	2.3	0.0	1.6	-7.5	47
3	5.1	0.0	0.6	-23.5	35
4	6.8	0.0	-38.9	-27.5	30
5	7.9	0.0	-66.6	-42.5	14
6	9.3	0.0	-43.2	-36.0	20
7	15.6	0.0	63.5	-41.5	14

1	1.3	0.2	-32.9	-27.0	42
2	2.3	0.0	1.3	-7.5	46
3	5.1	0.0	0.4	-23.0	36
4	5.4	-0.3	-62.3	-35.0	25
5	6.8	0.0	-39.1	-28.0	30
6	9.2	0.0	-43.3	-36.5	19

1	1.2	0.1	-15.5	-24.5	45
2	2.3	0.0	1.0	-7.5	46
3	5.1	0.0	0.3	-22.5	36
4	6.1	-0.3	60.3	-37.5	22
5	6.1	-0.3	-39.4	-35.5	24
6	6.8	0.0	-39.0	-27.5	30
7	9.3	0.0	-43.3	-36.0	20
8	16.0	-39.9	27.0	-41.5	13

1	2.3	0.0	1.0	-8.0	45
2	2.4	0.1	-9.0	-10.5	43
3	5.0	0.0	-58.1	-22.5	36
4	5.1	-0.4	29.6	-41.5	18
5	5.4	-0.6	-19.1	-38.5	20
6	6.1	-0.3	58.4	-33.0	26
7	6.8	0.0	-39.0	-27.5	31
8	9.3	-0.1	-43.6	-36.0	20
9	15.6	-0.1	62.2	-41.5	14

1	2.3	0.0	1.1	-8.0	46
2	2.4	0.2	-52.1	-20.5	34
3	5.0	0.0	0.6	-23.0	36
4	6.1	-0.3	-24.8	-39.5	19
5	6.8	0.0	-38.8	-27.0	30
6	8.6	-0.1	-39.2	-42.0	15
